code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,quality_explained/List type: Third Party,registerType,sector,structure,subnationalCoverage,url
CN-SAIC,"The SAIC is the national body which ensures business rights in China, for both domestic and foreign enterprises. Businesses must register with the SAIC. The Enterprise Registration Bureau is the department responsible for enterprise registration.

For further details on the procedure for starting a business entity, see this WikiProcedure - https://www.wikiprocedure.com/index.php/China_-_Start_a_Business_Entity

The database is only available in Chinese language

""The State Administration for Industry & Commerce (SAIC) of the People’s Republic of China is the competent authority of ministerial level directly under the State Council in charge of market supervision/regulation and related law enforcement through administrative means.

With creating a regulated and harmonized market environment of fairness, justice and faithfulness for the coordinated socioeconomic development as its objective, SAIC functions in maintaining market order and protecting the legitimate rights and interests of businesses and consumers by carrying out regulations in the fields of enterprise registration, competition, consumer protection, trademark protection and combating economic illegalities."" [1] 

""Our responsibilities:
2.     Carry out and administer registration of enterprises (including foreign-invested enterprises), agricultural cooperatives, entities or individuals engaged in business operation and resident representative offices of foreign companies; and take charge of the investigation and ban on unlicensed business operation according to law."" [2]

""Enterprise Registration Bureau
-        Draft measures and practice directions regarding enterprise registration;
-        Coordinate and guide enterprise registration nationwide; 
-        Take charge of registration of certain enterprises and supervises the registrants’ registration practices; 
-        Organize and guide credit rating of businesses; 
-        Establish and maintain the national database of enterprise registration information, and analyze and publish registration information of domestic enterprises."" [3]

[1][2] http://www.saic.gov.cn/english/aboutus/Mission/index.html
[3] http://www.saic.gov.cn/english/aboutus/Departments/",,False,,,,,,True,CN,,,,,,,,,,primary,2016-11-21,Desk research,State Administration for Industry and Commerce (SAIC),,75,,,,,,,,,,,,,75,,,,,,,http://gsxt.saic.gov.cn/
BO-CINS,"This is a list of public sector entities in Bolivia, published through SICOES (Sistema de Contraciones Estatales), which is the national state contracting system. It publishes identifiers for a range of entities, including: ministries, departmental and municipal government; national, regional and municipal companies and universities",,True,"BO-CINS-0065-10, BO-CINS-0025-57, BO-CINS-0359-00","Use the provided link and the code is in the column titled ""Código""",es,Access is via the portal which may be filtered https://www.sicoes.gob.bo/portal/clasificadores/institucional.php,https://www.sicoes.gob.bo/portal/clasificadores/institucional.php,True,BO,pdf,https://medios.economiayfinanzas.gob.bo/MH/documentos/DC_interes/2018/CLASIFICADORES_2019.pdf,"contact_address, phone_number",,no_license,,,,,secondary,,,Bolivia Institutional Classifier,Bolivia Clasificador Institucional,56,,,,,,1,,,,5,,,,50,,,,"government_agency, company",,https://www.sicoes.gob.bo/portal/clasificadores/institucional.php
JO-CCD,"The Companies Control Department is an independent national financial and administrative institution affiliated to the Minister of Industry and Trade in Jordan under the provisions of the amended Companies Law No. (40) of 2002. The work of the department is governed by the 1997 Companies Law No.

The Department is responsible for registration of various types of companies within the Hashemite Kingdom of Jordan, including non-profit companies. 

It maintains a number of online services for searching company information at http://www.ccd.gov.jo/e-services/home/db available in Arabic only.",,True,"200105534, 200138796, 200063296, 200115256","Search terms and results are only available in Arabic. You may need to use a translation service to access information in English. 

The search will generally return two identifiers. It is the national number of origin/establishment or national identifier that should be used with the JO-CCD prefix.

For some old companies, a national number may not be available. 

The other identifier will be accompanied by an organisation type (e.g. non-profit, limited company) and these numbers may only be unique for that type of organisation not across all organisations. These numbers should be be used with the JO-CCD prefix. ",ar,"The CCD offer e-Services which provide search via company name, board members, company number and national identifier numbers. ",http://www.ccd.gov.jo/e-services/home/db,True,JO,"bulk, csv, xml, json, excel",The Government of Jordan Online Portal (https://jordan.gov.jo/) has a number of datasets that appear to provide registered organisation information.,"directors_trustees_governors, registered_address, contact_address, industry_classifications, date_of_registration, contact_address, status",The CCD website states Copyright - All Rights Reserved,closed_license,False,,,,primary,2018-01-10,Desk research,Companies Control Department (Jordan), دائرة مراقبة الشركات,81,,2,1,1,1,,,1,0,,,,75,,,,,"company, charity",,http://www.ccd.gov.jo/
XI-ROR,"The Research Organization Registry (ROR) is a community-led project to develop an open, sustainable, usable, and unique identifier for every research organization in the world. The definition ROR use for a ""research organization"" is ""any organization that conducts, produces, manages, or touches research"".

The list is seeded from GRID, but with a long-term intention to diverge from this.",,True,"05asf4e91, 01kj2bm70, 049e6bc10","Using the URL, there is a search interface which allows you to find research organizations and identifiers",en,"Using the URL, there is a search interface which allows you to find research organizations and identifiers",https://ror.org/,True,XI,"api, bulk, json","API: https://api.ror.org/organizations
Bulk Download: https://figshare.com/collections/ROR_Data/4596503","akas, website, industry_classifications, country_of_origin, status",https://creativecommons.org/publicdomain/zero/1.0//,open_license,False,,,,third_party,2020-05-05,Original Research,Research Organization Registry,,40,2,2,,,1,,,,,,10,,,,25,,"research, education","charity, company, company/community_interest_company, company/limited_company, company/listed_company, company/mutual, company/partnership, government_agency, government_agency/local_government, government_agency/public_service, trust",,https://ror.community/
XI-GRID,"The Global Research Identifiers Database collects information on research institutions and assigns them a unique identifier.

It draws on information from funding datasets, and claims over 90% coverage of institutions. 

It records information on the nature of the research organisation, covering companies, education establishments, healthcare, non-profits, government and other entity types. 

GRID also records parent-child relationships between entities, and 'related relationships' for cross-linkages. 

It includes cross-linkages to a range of other identifier sources. ",,False,"grid.17063.33, grid.419696.5, grid.1957.a","A search of identifiers is available at https://www.grid.ac/institutes

Identifier numbers should be presented in their full form:

E.g. XI-GRID-grid.17063.33",en,An online search and database download are both available. ,https://www.grid.ac/downloads,True,,"bulk_download, api",,"contact_address, website, organisation_type, date_of_foundation, akas",The dataset is accessible under Creative Commons Attribution 4.0 International licence. API access is a premium service.,open_license,,,,,third-party,2016-12-30,Desk research,Global Research Identifiers Database,,12,2,,,,,,,,,,10,,,,,,"education, research",,,https://www.grid.ac/
CL-RUT,"Any company that will be subject to taxes in Chile must obtain a Rol Único Tributario (RUT).  

A RUT has 7 or 8 digits, plus a check digit. Identifiers should be presented without any punctuation and including the check digit. ",,True,"764241355, 616021214, 764957423","Search for registered government suppliers by name or RUT at http://www.chileproveedores.cl/ and then view the profile of the organisation to find the RUT under the heading 'RUTH'.

You can ask other organisations to provide their RUT, and in some cases will find this from a google search.",es,A search of government suppliers is available. ,http://www.chileproveedores.cl/,True,CL,data_not_available,,,,no_license,False,,,https://en.wikipedia.org/wiki/National_identification_number#Chile,secondary,2018-05-30,GitHub issue: https://github.com/org-id/register/issues/225,Rol Único Tributario de Chile (Taxpayer Number),Rol Único Tributario de Chile,55,,,,,,,,,,5,,,,50,,,,"company, charity",,http://www.chileproveedores.cl/
RU-INN,"This register offers information reports on any legal entity registered on the territory of the Russian Federation in the on-line mode directly from the respective registers. 

 There are following types of products available at this moment:
* Extract from USRLE - price 1 credit (1 credit is equal to 10.8 Euro, discounts available, see Rates/Prices)
* Annual Accounts - price 2 credits
* Extended Report - price 2 credits
* Extended Report + Finances - price 4 credits
* Court records + Enforcement proceedings - price 4 credits",,True,7723861614,,"en, ru",Company information cannot be obtained without prior registration and/or payment (see prices at https://russianpartner.biz/tariffs.html). Example extract: https://www.egrul.ru/examples/extract.pdf,,True,RU,,,,,,False,,,,primary,2017-10-24,ProZorro Business Register Research,Uniform State Register of Legal Entities of Russian Federation,Единый государственный реестр юридических лиц,75,,,,,,,,,,,,,75,,,,,company,,https://russianpartner.biz/
AE-UQCCI,"This register includes information about company name, PO box, address, activity, registration date.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Umm al-Quwain Chamber of Commerce and Industry,غرفة تجارة وصناعة أم القيوين,75,,,,,,,,,,,,,75,,,,,company,AE-UQ,http://www.uaqchamber.ae/
SE-KK,"A Swedish administrative authority under the Ministry of Finance, which is responsible for the registration of religious communities and organisational units of religious communities. ",,False,,Ask an organisation for it's registration number as issued by Kammarkollegiet. ,se,,,True,SE,data_not_available,,,,no_license,True,,,,secondary,2017-08-05,IATI,"Legal, Financial and Administrative Services Agency (Sweden)",Kammarkollegiet,55,,,,,,,,,,5,,,,50,,,,"charity, unincorporated_body",,https://www.kammarkollegiet.se/
CA_MB-MTB,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,"en, fr",,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,"Manitoba Companies Office, Department of Entrepreneurship, Training and Trade "," Bureau des entreprises du Manitoba, ministère de l'Entrepreneuriat, de la Formation et du Commerce",75,,,,,,,,,0,,,,75,,,,,company,CA-MB,https://direct.gov.mb.ca/mbohtml/html/internet/en/mb_online.html
